date,review,rating,isEdited,title,userName,Country
2023-01-28 22:31:42,"Some bits good and useful - time in bed, steps, period tracker. You need additional gadgets to monitor e.g. sleep and heart rate obviously. It shows long term data clearly and  predicts period well once you’ve inputted a few previous cycles.
There needs to be a section for pollen allergy/ hay fever. Then like periods, you could track your symptoms, whether you’ve taken antihistamines, and even better if it could link to the met pollen forecast and let you know what expected pollen counts are or even notify you if they are very high.
Also the nutrition section is good for tracking nutritional intake if you link it to another app, but it would be better if you could set your daily allowance and have it as a line on the graph e.g recommended calorie intake, max sodium intake, sugar, sat fats etc and give notifications to let you know if you’ve exceeded or how your trends are. Ideally you could select which nutrient values you’re interested in (as the list available is very long) and have a summary page with the graphs for those all visible one after another.",3,False,"Some bits good, needs hayfever section + better nutrition",KinokoSeki,GB
2022-02-07 22:40:46,"To say I’m shocked at how bad this app is, would be an understatement. It’s overly complex, unattractive and poorly thought out. The sleep tracking is terrible. Unless you set a sleep schedule it doesn’t track your sleep.  Not everyone wants a sleep schedule!  And when it is tracking, it’s often incorrect and mixes up time in bed with being asleep, or vice versa. It doesn’t track type of sleep, e.g. REM v deep sleep, and doesn’t tell you how many hours/minutes of sleep you get, you have to work that out for yourself. 
The exercise and non exercise calorie trackers are separate rather than in one place, WHY?? The heart health tells you a whole load of info but doesn’t inform you what it means, e.g. it gives a score for how fast your heart rate drops after you stop exercising but not what the National average or mean/norm is. Much of the heart health tracking is similar, lots of scores and info but not what any of it means, so nothing to compare with. Guess I need to go and get a medical degree in heart health! 
I really, really dislike it and in comparison to Fitbit health tracker and app, Apple Health is useless and a very poorly designed offer. I will not replace my Apple Watch once it wears out because of the app. I’ll go back to Fitbit!",2,False,Surprisingly Awful!,Snow_Leopard44,GB
2023-02-23 11:23:03,"Medication tracking is very helpful but quite basic. The graphs are primitive and don’t show you proper frequency (for example it only shows days of the week taken but not hours in between), you can’t take medication at different hours (I need to take mine Friday morning and Monday evening), if you need to change the dose during the month at a regular intervals it’s not possible, taking a medication for X days every month is also not a thing. For all the supposed female focus, the app lacks basic things like cycling hormonal medication. I understand that Apple is trying catch the largest use case, but taking medication every day isn’t rocket science, a simple reminder would do fine. It’s the more complicated options that require specialised tooling and this app falls drastically short.",3,False,Medication tracking is quite basic,violet_athena,GB
2022-10-11 22:13:57,"Using this app mainly for cycle tracking, but also for tracking fitness. Really disappointed at how clunky it is, and the very poor and unorganised layout. The algorithm is also very inaccurate - I.e. predicted period does not change when logging clear signs of ovulation. At the minute I am using a third party app to feed in the information as it is much more user friendly, but I am concerned about my data which is why I would prefer via apple.
I also think the sleep tracker is really inaccurate. Lots of sleep logged when I have actually been awake, while wearing the new Apple Watch as well. 

 Suggestions:
- big big improvement in AI and algorithms to track and predict ovulation/period
- ability to view cycle as calendar 
- view of what day in your cycle you are on at a glance
- nearly having cycle tracking as a stand along app would be better as it is such a big thing for half the population! 
- wrist temp should be used alongside cycle data to help correlate between period/cervical mucous changes to allow for better tracking
- wrist temp displayed as the temperature rather than change from baseline - my baseline started just before I ovulated and therefore baseline is not accurate. Not sure if this will be my baseline forever or if AI will sort this issue out.
- organising favourites in summary by group rather than by alphabetical order

I’m desperate for health to be great, but at the minute it is a big flop 👎🏻",2,False,Please please make this better!!,coc935,GB
2022-08-03 16:04:13,"I am disappointed with the updates to the Health App following the recent iOS software update.  The app is only available on iPhone (not iPad) and you have now put so much information on the display it is cluttered and untidy.  For me – this App worked.  I want it for step count and not much more.  I find it quite accurate and use it frequently.

Why have you now added a 6-month data tab to the graph?  And why have you added a Trend button?  Which currently shows as unavailable!

These both take up space, the graph is squashed making it difficult to read, and I fail to see what they add to the app.  If it ain’t broke, why fix it?  Please remove these (in my opinion) unnecessary additions.",3,False,Disappointed with unnecessary upgrade,vic chick 64,GB
2021-12-18 10:48:06,"Health is an incredibly powerful app! One thing that I love about it is its modern design with rounded corners. It makes all of the rich information that is being presented to me feel minimised and unobtrusive. Speaking of information, I love everything that is being displayed to me and everything that I can do with it. At a glance, I can see my activity, sleep and amount of steps. One of the apps highlighting features for me is its tight integration with the Apple Watch, which is my ultimate health companion. I can easily see a quick summary of all of my health data collected by my watch such as my Activity Rings and Handwashing. Overall, Health is a very useful app and I feel like it should be used more by users!",5,False,Very Useful!,🦁Sulaiman🦁,GB
2022-09-24 17:33:50,"In my opinion I do like it more now
1) prefers some stats over the garmin connect
In garmin everything is in one place but if you want to compare some stats then you need to go back and back again with health app there are shortcuts which can give me quicker access. However I wish If there could be more shortcuts so for example I could see my weight against my performance on the gym (load) and my calories in vs out or even macro visibility to see if any of this factors have impact on my training. 
Right now there is a lot to input like vitamins, carbs, then we can see sleep and activities but if I will be able to create relations between this stats without going in and out out it would be fantastic 🤩",4,False,Right direction but not there yet….,LT2701,GB
2023-04-08 17:56:00,"I have set myself the goal of walking 10,000 steps a day and make sure that I achieve this everyday.  I want to celebrate that achievement but instead I get lots of messages telling me I have not walked as far as yesterday - last week - last month - last year.  My aim is 10,000 steps, anything else is a bonus and I am not resetting my goal.  It is a shame I cannot enter my goal and have my achievement celebrated. I agree with a previous reviewer who suggested the current day should not be included in the weekly totals as it skews the average when you have not walked anywhere yet.  Positive feedback or the ability to turn the messages off would improve this app for me.",3,False,Would be good if it was more encouraging,Doolstdki,GB
2022-02-23 09:24:48,"I must say, I’ve recently moved from a Fitbit activity tracker to an Apple Watch series7 & I love the watch, however I did think Fitbit displayed the data better in its app. I however may just need some time to get used to the differences.
I would really like another category to be added please…. Total calorie burn for each day, week, month etc.
I understand that I can add it up (active energy+resting energy), but it’s a nuisance having to do so & I could really do with quick reference & graphic comparisons.
There are sooooo many categories, there really is something for everyone & the fact that you can tailor your dashboard really helps 😌",4,False,New Interface (takes time to get used to),Weelynse,GB
2022-12-18 08:28:41,"Like the app and step count seems quite accurate. A couple of things that could make it better 1) instant refresh of step count data when opening app - there is often a lag of several minutes and doesn’t seem to be a refresh/sync option to force the count to update 2) the longer term average step count chart/dat includes the current days data- it would be better if it didn’t so that longer term averages aren’t skewed by the current day ie. In the morning when number of steps is much lower than it would be at the end of the day, the long run average daily steps is lower.( Would suggest taking current day out)",4,False,Step Count,APIe85,GB
