date,review,rating,isEdited,title,userName,Country
2022-12-10 22:06:40,"I have noticed that this app counts walking steps on the basis of speed of walking of the user. This means that when one walks at specific speed, the app starts counting and converts it into steps. Thus, the app counts steps when you even drive or ride a vehicle or bicycle, which is running  at a speed which is almost similar to walking speed. This results in falsifying the speed data. I have noticed it many time, that when I have not walked during a particular day and driven a vehicle during the day in busy traffic, it shows my walking status of such and such steps.

Plz clarify whether my observation is correct?",3,False,Doesn’t reflect the actual walking status,Raj-Ganjoo,IND
2022-11-12 15:25:15,"I am totally disappointed with my Apple Watch and health app since switching from honor band and it’s corresponding Huawei health app. The latter was so user friendly and had such a neat, clean UI and was so easy to navigate, and see all the important data in a dashboard format, where as in Apple health is a completely jumbled up. Also the sleep data tracked doesn’t even seem to be accurate. It gives time in bed and time asleep that kind of contradicts. Not to mention the swimming laps and distance. It’s complete garbage. the distance tracked is no where near the actual number of laps completed. I would really like to get a refund for this Watch since it’s not helping me as I would’ve hoped to. Not to mention the extremely poor battery life. Only good thing about the watch is for making calls without my mobile phone around and that’s all it’s useful for.

Why is there no option to edit the workouts that’s I’m entering manually? 🤷‍♀️🤦‍♀️🤦‍♀️",1,False,Really really bad UI,Phoneix7777,IND
2023-02-10 18:30:38,I have used 14 Plus also where if I search anything in Browse related to health categories like “Blood Glucose” or “Blood Pressure” they used to come up easily in the search result. But now in 14 Pro Max they are not coming instead if I have kept any edition names just they are coming. I have restarted my phone still it didn't get fixed. Kindly look into it and fix the issue.,3,False,14 Pro Max Health browse search not working properly,UtsabDutta,IND
2023-02-19 06:29:52,"Health is very convenient app for having all health data at one place. It is very easy to track and analyse data and progress over the period. Also seamless data transfer between iWatch and iPhone ensures that up to date data is always available. 
Now as iPad is being used regularly, Apple should consider developing Health app for iPad as well so that health data is available for monitoring on iPad also.",4,False,Very convenient for having all health data,RBandekar,IND
2023-01-11 02:55:52,"It records sleep data as per schedule fed and not based on the time sleep mode was on 
So, if I slept 11pm to 8 am with sleep mode on entire duration which is 9 hours but my schedule in app is set to 1:15 am to 6:40am, then, it shows that I slept for only 5 hours 26 minutes 
This way it is useless 
Because everyday it requires me to change schedule and even that can’t align with my waking up time which changes in the morning everyday. In the night before sleeping, I may schedule to wake up at 6 but in the morning, I may plan to sleep one more hour.
So, the app data should not be based on schedule i feed but the duration I turn on my sleep mode which I do, whenever I go to sleep and turn if it off right after waking up. Sometimes, I sleep during day also and I want to record that also.

 I hope you will give me this option in the app to make it truly useful, otherwise it is just a space occupier.",1,False,Doesn’t record true data for sleep,gaurav1qw,IND
2022-09-20 02:29:49,"The app has some of the important and essential information missing . For example , some important blood groups (A1 positive, AB positive, AB negative etc)  are missing from the list . The activity details that are shown are not real time. Apple please update the app with all blood groups or at least make the field to a text box so that people can enter their blood group and type .",3,False,Many essentials missing,Shyam.a,IND
2023-02-16 05:03:42,"Dear developers you can include rather i would say you must include - mapping features as we have in other apps when we do cycling/ running etc and we can compare our results with others doing same ride/ run / hike etc and compare & improve us. 
App needs to be redesigned. 👍",3,False,New Interface required with Maps/ stats comparison etc,Sahil Vijay 6507,IND
2022-04-03 03:13:00,"The step count isn’t quite real-time; Quite often, it gets frozen at a low value, which suddenly jumps when the app is restarted.

The distance measured is quite inaccurate too; it’s typically under-reported by 25-40%. Which means that the step length is probably calculated incorrectly too, as is the walking/running speed.",3,False,Not very accurate,mb.editor,IND
2022-11-20 03:22:25,"Using  watch sleep should be tracked while a person is sleeping and should not be bounded to  sleep focus.
With the all sensors active all the time this data should be recorder while a person is asleep at any hour of day.
I hope this issue be addressed and updations to be done with next update.",3,False,Improvement in Sleep data required,Him Arya,IND
2023-02-09 16:22:58,"This module certainly needs improvement. It is recording only schedule time set. Ideally when user set the sleep mode on, it should record/analysis the data irrespective of planned schedules.  Add data options are available but no use of adding data when there is no analysis on unplanned sleep.",3,False,Sleep,PurnaPani,IND
